antigen,420,452,494,359
420,10240.0,4470.0,8110.0,8144.0
452,4470.0,10240.0,4987.0,3794.0
494,8110.0,4987.0,10240.0,7790.0
359,8144.0,3794.0,7790.0,10240.0
